06;07;05;D26;41CH502202;       251; 000000000
06;07;05;D26;41CH503501;      1703; 000000735
06;07;05;D26;41CH507001;      1956; 000001030
06;07;05;D26;41CH607000;        48; 000000070
06;07;05;D26;41CNM07000;       145; 000000000
06;07;05;D26;41DI207005;       217; 000000000
06;07;05;D26;41DI307001;        79; 000000000
06;07;05;D26;41DI407000;        63; 000000020
06;07;05;D26;41GL107000;        14; 000000000
06;07;05;D26;41GL107001;         3; 000000000
06;07;05;D26;41GL107002;        27; 000000000
06;07;05;D26;41GL107003;        13; 000000000
06;07;05;D26;41GL207001;        26; 000000000
06;07;05;D26;41HS607001;        28; 000000000
06;07;05;D26;41KF107500;        46; 000000020
06;07;05;D26;41MAJ07000;       307; 000000000
06;07;05;D26;41MAL07001;      1689; 000000030
06;07;05;D26;41MAL10000;        50; 000000200
06;07;05;D26;41MA107002;        36; 000000000
06;07;05;D26;41NA107000;       309; 000000025
06;07;05;D26;41NON07000;       134; 000000000
06;07;05;D26;41QH107000;        78; 000000000
06;07;05;D26;41SAF07000;         0; 000000000
06;07;05;D26;41SAF10000;       353; 000000250
06;07;05;D26;41SAF17500;      1176; 000000800
06;07;05;D26;41ST107500;         9; 000000000
06;07;05;D26;41TAZ07000;        44; 000000000
06;07;05;D26;41WE107500;        17; 000000000
06;07;05;D26;4150003500;       207; 000000250
06;07;05;D26;4150007002;       312; 000000325
06;07;05;D26;4150010000;       186; 000000275
06;07;05;D26;4150017500;        39; 000000050
06;07;05;D26;42GA107000;        71; 000000000
06;07;05;D26;42GSM07500;         6; 000000000
06;07;05;D26;42LGC07000;        22; 000000000
06;07;05;D26;42LGC07001;        22; 000000000
06;07;05;D26;42LGC07500;         6; 000000000
06;07;05;D26;42LGC07501;         0; 000000000
06;07;05;D26;42LGC07502;         2; 000000002
06;07;05;D26;42LGC07503;         0; 000000000
06;07;05;D26;42OMB07500;        30; 000000000
06;07;05;D26;42OMB07501;        18; 000000000
06;07;05;D26;42OMB07502;         3; 000000000
06;07;05;D26;42OMB07503;         7; 000000000
06;07;05;D26;42PB107500;         6; 000000002
