42VCS07506;ROSE SYRAH CARMENERE 6/0,75 TF     ;000000000000000;000078,8205;000083,5975;000086,4637;000090,7439;00000095,54;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0009;VAG;TF
42VCS07507;GRAN RESERVA VIOGNER 6/0,75 TF     ;0000000000,0001;000118,3215;000125,4925;000129,7951;000136,2203;00000143,42;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0009;VAG;TF
42VCS07505;LATE HARVEST SEMILLO 6/0,75 TF     ;000000000000000;000106,9613;000113,4438;000117,3333;000123,1416;00000129,65;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0009;VAG;TF
41CND07000;RON CANAIMA DORADO 12/0,70 TF      ;000000000000000;000013,2083;000014,0088;000014,4891;000015,2063;00000016,01;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;CA5;TF
46CND07000;RON CANAIMA DORADO 12/0,70 IM      ;000000000000207;000011,4345;000012,1275;000012,5433;000013,1642;00000013,86;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;CA5;PL
46CND07001;RON CANAIMA DORADO 12/0,70 PRG     ;000000000000100;000012,0368;000012,7663;0000013,204;000013,8576;00000014,59;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;CA5;PL
41GL107011;L.V GLACIAL DURAZNO 12/0,7 TF      ;000000000000594;000010,1145;000010,7275;000011,0953;000011,6445;00000012,26;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;GL1;TF
46GL107017;L.V GLACIAL DURAZNO12/0,7 IM       ;000000000000150;000008,7533;000009,2838;000009,6021;000010,0774;00000010,61;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;GL1;PL
46GL107019;L.V GLACIAL DURAZNO 12/0,7 PRG     ;000000000000166;000008,7533;000009,2838;000009,6021;000010,0774;00000010,61;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;GL1;PL
41GL107010;L.V GLACIAL FRESA 12/0,70 TF       ;000000000000000;000010,1145;000010,7275;000011,0953;000011,6445;00000012,26;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0009;GL1;TF
46GL107016;L.V GLACIAL FRESA 12/0,70 IM       ;000000000000481;000008,7533;000009,2838;000009,6021;000010,0774;00000010,61;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0008;GL1;PL
46GL107018;L.V GLACIAL FRESA 12/0,7 PRG       ;000000000000448;000008,7533;000009,2838;000009,6021;000010,0774;00000010,61;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;12;    300A0007;GL1;PL
4150017503;BES 5 ESTRELLA  6/1,75 TF PET      ;000000000006040;000013,8105;000014,6475;000015,1497;000015,8997;00000016,74;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0009;500;TF
4650017504;BES 5.ESTRELLAS 6/1,75 PRG PET     ;000000000000000;000012,5813;000013,3438;000013,8013;000014,4845;00000015,25;00000000000;00000000000;00000000000;00000000000;00000000000;BT;CA;06;    300A0007;500;PL
